,description,spotify_id,name,no_tracks
0,Justin Bieber is on top of the Hottest 50!,37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,50
1,"Music from Lil Durk, Playboi Carti and Kid Cudi.",37i9dQZF1DX0XUsuxWHRQd,RapCaviar,50
2,The newest music from Foo Fighters along with the top Rock songs you need to know,37i9dQZF1DXcF6B6QPhFDv,Rock This,50
3,"The world's biggest dance hits. Music from Imanbek & Goodboys, RAYE, Jax Jones and more!",37i9dQZF1DX4dyzvuaRJ0n,mint,79
4,"Today's top country hits of the week, worldwide! Cover: Luke Combs",37i9dQZF1DX1lVhptIYRda,Hot Country,53
5,"Today's top Latin hits are right here, on ¡Viva Latino! Cover: Camilo, El Alfa",37i9dQZF1DX10zKzsJ2jva,¡Viva Latino!,50
6,The pulse of R&B music today.  Cover: PARTYNEXTDOOR,37i9dQZF1DX4SBhb3fqCJd,Are & Be,36
7,Your daily update of the most played tracks in United States right now.,37i9dQZEVXbLRQDuF5jeBp,United States Top 50,50
8,Your daily update of the most played tracks right now.,37i9dQZEVXbMDoHDwVN2tF,Global Top 50,50
9,Your daily update of the most viral tracks in the world.,37i9dQZEVXbLiRSasKsNU9,Global Viral 50,50
10,Your daily update of the most viral tracks in United States.,37i9dQZEVXbKuaTI1Z1Afx,United States Viral 50,50
11,"Justin Bieber, Lauv, Foo Fighters, and more kick off the first NMF of 2021!",37i9dQZF1DX4JAvHpjipBk,New Music Friday,60
12,"The songs you loved most this year, all wrapped up.",37i9dQZF1EM2F44UEiL0Fc,Your Top Songs 2020,100
13,Top songs from 2020 that we know you won't want to miss.,37i9dQZF1EOj0RW8MWGOy5,Missed Hits,30
14,Dig deeper into some of your top artists of 2020 with a mix of talk and music.,37i9dQZF1EOAp1RA8EE4ZZ,On Record,21
15,The most-streamed songs in the US on Spotify in 2020. Cover: Roddy Ricch,37i9dQZF1DXaqCgtv7ZR3L,Top Tracks of 2020 USA,50
16,The most-streamed artists in the US on Spotify in 2020. Cover: Juice WRLD,37i9dQZF1DX37ciJqlFxAC,Top Artists of 2020 USA,50
17,The most-streamed female artists in the US on Spotify in 2020. Cover: Taylor Swift,37i9dQZF1DX9NF97u9rJbV,Top Female Artists of 2020 USA,50
18,The most-streamed male artists in the US on Spotify in 2020. Cover: Drake,37i9dQZF1DXchszuUejh5i,Top Male Artists of 2020 USA,50
19,The most-streamed groups in the US on Spotify in 2020. Cover: Cast of Hamilton,37i9dQZF1DX5nzJu5E8s8B,Top Groups of 2020 USA,50
20,The Global Top Tracks of 2020. Cover: The Weeknd,37i9dQZF1DX7Jl5KP2eZaS,Top Tracks of 2020,50
21,The Global Top Artists of 2020. Cover: Bad Bunny,37i9dQZF1DWXgY89J4Sjdb,Top Artists of 2020,50
22,The Global Top Female Artists of 2020. Cover: Billie Eilish,37i9dQZF1DX4QJLfOsEteR,Top Female Artists of 2020,50
