,description,spotify_id,name,no_tracks
0,"Hey everyone, thanks for finding us! We are excited to be here and share some of our longtime favorite artists and new discoveries. Thanks for listening!",0LPsYH4hIRjLUKXuZd2vAt,Coffeehouse,477
1,A playlist for when you need a quick burst of glorious uptempo pop music!,3JUf7Sj7OPMHoQSWChbT1c,Starbucks Coffeehouse Pop,411
2,A playlist representing the quieter side of our coffeehouses.,6prLaAk2sOPeDpJKY6LZZ9,Starbucks Acoustic,139
3,Jazz music has long been a staple of our coffeehouses and these are just a few of our all-time favorite ballads and showstoppers.,2UPjWBRjJqMQY3LRV2aDTS,Starbucks Jazz,270
4,"Every week we add new songs from up-and-coming acts, or from some of our favorite essential artists!",7FoKftIMWTsQSNYcOnKZlu,Starbucks Discovery,36
5,"Featuring emerging acts alongside indie throwbacks, this is an easy go-to playlist for dinner with friends and a cool soundtrack for home.",3a1OTaG5PFOgJsyn3JgJlT,Dinner Party,238
6,"Our playlist of way way throwbacks pays tribute to the Jazz Age, the Swing Era and the pioneering vocalists of those times.",0zvsslstgJQtJGJ2ABmgfp,Starbucks Vintage,118
7,Relax into this playlist of cool contemporary currents and downtempo throwbacks.,3FJPDHcyQqNotTrCS8xedc,Starbucks Chill,193
8,"A playlist covering three of our favorite genres, filled with throwback jams and funky nuggets.",0HkfotJOlSk04OXwly1RYV,Starbucks Soul R&B Hip-Hop,207
9,Explore this playlist composed of our all-time favorite standards sung by jazz legends and future icons.,26RlHeqMVbMYAB3AYYsVIv,Starbucks Jazz Vocals,279
10,Just a spoonful of our favorite acoustic and electric blues songs.,05XhY0B6KtX6FMuSNngE5L,Starbucks Blues,222
11,"Simmer down with our blend of vintage fare and current cuts from the ska, rocksteady and reggae scenes.",1acogrIZcGIIFyCKxFbnIx,Starbucks Reggae,201
12,Take a multicultural tour with our eclectic playlist of sounds from around the world.,3SR7ZUz6KzKQOKukFMlnDb,Starbucks Global Blend,87
13,AMPLIFY BLACK VOICES.,6JEVytwkx6QUwtJ3rmuQZh,Black Lives Matter,72
14,The classic folk of the 60s and 70s meets music of contemporary generations of artists inspired by those original sounds.,0eYEbdjCWhNOISPDiW4PJM,Starbucks Folk,86
15,Our country playlist is full of vintage country songs from the 50s through to the contemporary scene.,1dzU3fAGJHs4Vww0R56DS8,Starbucks Country,101
16,An eclectic collection of traditional and current songs that reveal the warm and welcoming sounds of the Aloha state.,4xrafJcrpjWYeMUeTD1h5s,Hawaii,94
17,"A soundtrack curated for the Starbucks Reserve Roasteries in Seattle, Shanghai, Milan, NY, Tokyo and Chicago.",3DkfjGJSjjqT8D14Zdyyj7,Starbucks Reserve Roastery,440
18,"The best Lofi Hip Hop &amp; Chill Music in 2021. Listen and Follow Lofi Fruits (Updated Weekly) Perfect to relax, sleep, study, chill, vibe, read, groove to 🍉 Mellow chill beats, chillhop, smooth lofi, bedroom pop &amp; relaxing lo-fi jazz. ",3LFIBdP7eZXJKqf3guepZ1,"Lofi Fruits Music 🍉 lofi hip hop music to chill, relax, study, sleep",317
19,"The best Deep House &amp; Electronic Dance music in 2021. Listen and Follow Strange Fruits (Updated Weekly) Perfect to workout, game, party to 🍉deep house, lounge chillout, house, dance &amp; tech house ",6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 to workout, game, party to - summer 2021, deep house, dance, lounge chillout",86
20,"The best Piano Covers &amp; Relaxing music in 2021. Listen and Follow Ambient Fruits (Updated Weekly) Perfect to sleep, relax, read with some truly beautiful piano pieces 🍉",3Fks8fEblBMICMNfZppbbh,"Piano Covers 🍉 to relax, sleep and read to in the background | Peaceful Music | Ambient Fruits  ",228
21,(Cover: Betsy) Electrónica 2021 &amp; Dance Music | Listen and Follow Strange Fruits (Updated Weekly),0xrcpsSBNGorqGjSeIgvF6,Electrónica 2021 & Dance Music : Gym Motivation | Strange Fruits 🍉 ,77
